"","the_geom","OBJECTID","Name","Stacked","AnnoLine1","AnnoLine2","AnnoLine3","AnnoAngle","Borough","Longitude","Latitude","LatLong"
"21","POINT (-73.90942160757443 40.81975437059498)",21,"Melrose",1,"Melrose",NA,NA,0,"Bronx",-73.9094216075744,40.819754370595,"-73.90942160757443, 40.81975437059498"
"22","POINT (-73.91609987487583 40.80623874935181)",22,"Mott Haven",1,"Mott Haven",NA,NA,0,"Bronx",-73.9160998748758,40.8062387493518,"-73.91609987487583, 40.80623874935181"
"23","POINT (-73.91322139386142 40.80166362775625)",23,"Port Morris",2,"Port","Morris",NA,0,"Bronx",-73.9132213938614,40.8016636277562,"-73.91322139386142, 40.80166362775625"
"24","POINT (-73.89578820094466 40.815099045458254)",24,"Longwood",1,"Longwood",NA,NA,0,"Bronx",-73.8957882009447,40.8150990454583,"-73.89578820094466, 40.815099045458254"
"25","POINT (-73.88331505955298 40.809729879387135)",25,"Hunts Point",2,"Hunts","Point",NA,0,"Bronx",-73.883315059553,40.8097298793871,"-73.88331505955298, 40.809729879387135"
"26","POINT (-73.90150648943066 40.82359198585537)",26,"Morrisania",1,"Morrisania",NA,NA,0,"Bronx",-73.9015064894307,40.8235919858554,"-73.90150648943066, 40.82359198585537"
"27","POINT (-73.86574609554933 40.82101219791406)",27,"Soundview",1,"Soundview",NA,NA,0,"Bronx",-73.8657460955493,40.8210121979141,"-73.86574609554933, 40.82101219791406"
"28","POINT (-73.85414416189273 40.806551120035934)",28,"Clason Point",2,"Clason","Point",NA,0,"Bronx",-73.8541441618927,40.8065511200359,"-73.85414416189273, 40.806551120035934"
"29","POINT (-73.8163500215845 40.815109258040096)",29,"Throgs Neck",1,"Throgs Neck",NA,NA,0,"Bronx",-73.8163500215845,40.8151092580401,"-73.8163500215845, 40.815109258040096"
"30","POINT (-73.82409926753857 40.84424593694742)",30,"Country Club",2,"Country","Club",NA,0,"Bronx",-73.8240992675386,40.8442459369474,"-73.82409926753857, 40.84424593694742"
"31","POINT (-73.8560031053579 40.83793782226733)",31,"Parkchester",1,"Parkchester",NA,NA,0,"Bronx",-73.8560031053579,40.8379378222673,"-73.8560031053579, 40.83793782226733"
"32","POINT (-73.8421940760445 40.840619496432744)",32,"Westchester Square",2,"Westchester","Square",NA,0,"Bronx",-73.8421940760445,40.8406194964327,"-73.8421940760445, 40.840619496432744"
"33","POINT (-73.86629918075617 40.84360847124722)",33,"Van Nest",2,"Van","Nest",NA,0,"Bronx",-73.8662991807562,40.8436084712472,"-73.86629918075617, 40.84360847124722"
"34","POINT (-73.85040178030428 40.84754906353638)",34,"Morris Park",1,"Morris Park",NA,NA,0,"Bronx",-73.8504017803043,40.8475490635364,"-73.85040178030428, 40.84754906353638"
"35","POINT (-73.88845196134812 40.85727710073898)",35,"Belmont",1,"Belmont",NA,NA,0,"Bronx",-73.8884519613481,40.857277100739,"-73.88845196134812, 40.85727710073898"
"36","POINT (-73.917190482104 40.8813949772709)",36,"Spuyten Duyvil",2,"Spuyten","Duyvil",NA,0,"Bronx",-73.917190482104,40.8813949772709,"-73.917190482104, 40.8813949772709"
"37","POINT (-73.90453054908934 40.9085428295067)",37,"North Riverdale",2,"North","Riverdale",NA,0,"Bronx",-73.9045305490893,40.9085428295067,"-73.90453054908934, 40.9085428295067"
"38","POINT (-73.83207378240478 40.85064140940339)",38,"Pelham Bay",2,"Pelham","Bay",NA,0,"Bronx",-73.8320737824048,40.8506414094034,"-73.83207378240478, 40.85064140940339"
"39","POINT (-73.82620275994081 40.82657951686926)",39,"Schuylerville",1,"Schuylerville",NA,NA,0,"Bronx",-73.8262027599408,40.8265795168693,"-73.82620275994081, 40.82657951686926"
"40","POINT (-73.81388514428627 40.82198611816354)",40,"Edgewater Park",2,"Edgewater","Park",NA,0,"Bronx",-73.8138851442863,40.8219861181635,"-73.81388514428627, 40.82198611816354"
"41","POINT (-73.84802729582742 40.81901437698835)",41,"Castle Hill",2,"Castle","Hill",NA,0,"Bronx",-73.8480272958274,40.8190143769883,"-73.84802729582742, 40.81901437698835"
"42","POINT (-73.86332361652784 40.87137078192375)",42,"Olinville",1,"Olinville",NA,NA,0,"Bronx",-73.8633236165278,40.8713707819238,"-73.86332361652784, 40.87137078192375"
"43","POINT (-73.8416119483123 40.862965624780024)",43,"Pelham Gardens",2,"Pelham","Gardens",NA,0,"Bronx",-73.8416119483123,40.86296562478,"-73.8416119483123, 40.862965624780024"
"44","POINT (-73.91558941773451 40.834283807338544)",44,"Concourse",1,"Concourse",NA,NA,0,"Bronx",-73.9155894177345,40.8342838073385,"-73.91558941773451, 40.834283807338544"
"45","POINT (-73.85053524451942 40.82977429787165)",45,"Unionport",1,"Unionport",NA,NA,0,"Bronx",-73.8505352445194,40.8297742978717,"-73.85053524451942, 40.82977429787165"
"46","POINT (-73.84808271877175 40.88456130303736)",46,"Edenwald",1,"Edenwald",NA,NA,0,"Bronx",-73.8480827187717,40.8845613030374,"-73.84808271877175, 40.88456130303736"
"47","POINT (-74.03062069353821 40.62580106501069)",47,"Bay Ridge",1,"Bay Ridge",NA,NA,0,"Brooklyn",-74.0306206935382,40.6258010650107,"-74.03062069353821, 40.62580106501069"
"48","POINT (-73.99517998380736 40.61100890202048)",48,"Bensonhurst",1,"Bensonhurst",NA,NA,0,"Brooklyn",-73.9951799838074,40.6110089020205,"-73.99517998380736, 40.61100890202048"
"49","POINT (-74.01031618527792 40.64510294925433)",49,"Sunset Park",2,"Sunset","Park",NA,0,"Brooklyn",-74.0103161852779,40.6451029492543,"-74.01031618527792, 40.64510294925433"
"50","POINT (-73.954240931274 40.730200984864744)",50,"Greenpoint",1,"Greenpoint",NA,NA,0,"Brooklyn",-73.954240931274,40.7302009848647,"-73.954240931274, 40.730200984864744"
