"","the_geom","OBJECTID","Name","Stacked","AnnoLine1","AnnoLine2","AnnoLine3","AnnoAngle","Borough","Longitude","Latitude","LatLong"
"146","POINT (-73.90143517559596 40.70832315613862)",146,"Ridgewood",1,"Ridgewood",NA,NA,0,"Queens",-73.901435175596,40.7083231561386,"-73.90143517559596, 40.70832315613862"
"147","POINT (-73.87074167435614 40.702762429678415)",147,"Glendale",1,"Glendale",NA,NA,0,"Queens",-73.8707416743561,40.7027624296784,"-73.87074167435614, 40.702762429678415"
"148","POINT (-73.85782686905377 40.72897409480739)",148,"Rego Park",1,"Rego Park",NA,NA,0,"Queens",-73.8578268690538,40.7289740948074,"-73.85782686905377, 40.72897409480739"
"149","POINT (-73.85811046554328 40.689886879157925)",149,"Woodhaven",1,"Woodhaven",NA,NA,0,"Queens",-73.8581104655433,40.6898868791579,"-73.85811046554328, 40.689886879157925"
"150","POINT (-73.84320266173454 40.68070846826546)",150,"Ozone Park",1,"Ozone Park",NA,NA,0,"Queens",-73.8432026617345,40.6807084682655,"-73.84320266173454, 40.68070846826546"
"151","POINT (-73.80986478649048 40.66854957767199)",151,"South Ozone Park",2,"South","Ozone Park",NA,0,"Queens",-73.8098647864905,40.668549577672,"-73.80986478649048, 40.66854957767199"
"152","POINT (-73.84304528896132 40.78490274926025)",152,"College Point",2,"College","Point",NA,0,"Queens",-73.8430452889613,40.7849027492602,"-73.84304528896132, 40.78490274926025"
"153","POINT (-73.8142021661087 40.781290766026984)",153,"Whitestone",1,"Whitestone",NA,NA,0,"Queens",-73.8142021661087,40.781290766027,"-73.8142021661087, 40.781290766026984"
"154","POINT (-73.77427363068676 40.76604063281068)",154,"Bayside",1,"Bayside",NA,NA,0,"Queens",-73.7742736306868,40.7660406328107,"-73.77427363068676, 40.76604063281068"
"155","POINT (-73.79176243728068 40.761729549032665)",155,"Auburndale",1,"Auburndale",NA,NA,0,"Queens",-73.7917624372807,40.7617295490327,"-73.79176243728068, 40.761729549032665"
"156","POINT (-73.73889775580747 40.77082619282674)",156,"Little Neck",2,"Little","Neck",NA,0,"Queens",-73.7388977558075,40.7708261928267,"-73.73889775580747, 40.77082619282674"
"157","POINT (-73.74249820727337 40.766846097907674)",157,"Douglaston",1,"Douglaston",NA,NA,0,"Queens",-73.7424982072734,40.7668460979077,"-73.74249820727337, 40.766846097907674"
"158","POINT (-73.71548118999152 40.74944079974336)",158,"Glen Oaks",2,"Glen","Oaks",NA,0,"Queens",-73.7154811899915,40.7494407997434,"-73.71548118999152, 40.74944079974336"
"159","POINT (-73.7201281482691 40.72857318176679)",159,"Bellerose",1,"Bellerose",NA,NA,0,"Queens",-73.7201281482691,40.7285731817668,"-73.7201281482691, 40.72857318176679"
"160","POINT (-73.82087764933573 40.72257824422808)",160,"Kew Gardens Hills",3,"Kew","Gardens","Hills",0,"Queens",-73.8208776493357,40.7225782442281,"-73.82087764933573, 40.72257824422808"
"161","POINT (-73.78271337003271 40.734394465331334)",161,"Fresh Meadows",2,"Fresh","Meadows",NA,0,"Queens",-73.7827133700327,40.7343944653313,"-73.78271337003271, 40.734394465331334"
"162","POINT (-73.81174822458641 40.710935472522756)",162,"Briarwood",1,"Briarwood",NA,NA,0,"Queens",-73.8117482245864,40.7109354725228,"-73.81174822458641, 40.710935472522756"
"163","POINT (-73.79690165888296 40.704657360687214)",163,"Jamaica Center",2,"Jamaica","Center",NA,0,"Queens",-73.796901658883,40.7046573606872,"-73.79690165888296, 40.704657360687214"
"164","POINT (-73.75494976234339 40.74561857141858)",164,"Oakland Gardens",2,"Oakland","Gardens",NA,0,"Queens",-73.7549497623434,40.7456185714186,"-73.75494976234339, 40.74561857141858"
"165","POINT (-73.73871484578433 40.7188930921674)",165,"Queens Village",2,"Queens","Village",NA,0,"Queens",-73.7387148457843,40.7188930921674,"-73.73871484578433, 40.7188930921674"
"166","POINT (-73.75925009335602 40.71124344191908)",166,"Hollis",1,"Hollis",NA,NA,0,"Queens",-73.759250093356,40.7112434419191,"-73.75925009335602, 40.71124344191908"
"167","POINT (-73.79042613135549 40.69691125378992)",167,"South Jamaica",1,"South Jamaica",NA,NA,0,"Queens",-73.7904261313555,40.6969112537899,"-73.79042613135549, 40.69691125378992"
"168","POINT (-73.75867603727725 40.69444538522363)",168,"St. Albans",1,"St. Albans",NA,NA,0,"Queens",-73.7586760372773,40.6944453852236,"-73.75867603727725, 40.69444538522363"
"169","POINT (-73.77258787620913 40.675211395917366)",169,"Rochdale",1,"Rochdale",NA,NA,0,"Queens",-73.7725878762091,40.6752113959174,"-73.77258787620913, 40.675211395917366"
"170","POINT (-73.76042092682295 40.666230490368626)",170,"Springfield Gardens",2,"Springfield","Gardens",NA,0,"Queens",-73.7604209268229,40.6662304903686,"-73.76042092682295, 40.666230490368626"
"171","POINT (-73.73526873708033 40.69277463916089)",171,"Cambria Heights",2,"Cambria","Heights",NA,0,"Queens",-73.7352687370803,40.6927746391609,"-73.73526873708033, 40.69277463916089"
"172","POINT (-73.73526079428285 40.65981643342812)",172,"Rosedale",1,"Rosedale",NA,NA,0,"Queens",-73.7352607942829,40.6598164334281,"-73.73526079428285, 40.65981643342812"
"173","POINT (-73.7549796804388 40.60313443250093)",173,"Far Rockaway",2,"Far Rockaway",NA,NA,0,"Queens",-73.7549796804388,40.6031344325009,"-73.7549796804388, 40.60313443250093"
"174","POINT (-73.82005489110327 40.603026583512424)",174,"Broad Channel",2,"Broad","Channel",NA,0,"Queens",-73.8200548911033,40.6030265835124,"-73.82005489110327, 40.603026583512424"
"175","POINT (-73.92551196994177 40.557401288454564)",175,"Breezy Point",2,"Breezy","Point",NA,0,"Queens",-73.9255119699418,40.5574012884546,"-73.92551196994177, 40.557401288454564"
"176","POINT (-73.90228960391681 40.77592301564293)",176,"Steinway",1,"Steinway",NA,NA,0,"Queens",-73.9022896039168,40.7759230156429,"-73.90228960391681, 40.77592301564293"
"177","POINT (-73.80436451720996 40.792781403600515)",177,"Beechhurst",1,"Beechhurst",NA,NA,0,"Queens",-73.80436451721,40.7927814036005,"-73.80436451720996, 40.792781403600515"
"178","POINT (-73.77680222621588 40.7828428062456)",178,"Bay Terrace",2,"Bay","Terrace",NA,0,"Queens",-73.7768022262159,40.7828428062456,"-73.77680222621588, 40.7828428062456"
"179","POINT (-73.77613282391712 40.59564180736854)",179,"Edgemere",1,"Edgemere",NA,NA,0,"Queens",-73.7761328239171,40.5956418073685,"-73.77613282391712, 40.59564180736854"
"180","POINT (-73.7919923313695 40.58914394372975)",180,"Arverne",1,"Arverne",NA,NA,0,"Queens",-73.7919923313695,40.5891439437298,"-73.7919923313695, 40.58914394372975"
"181","POINT (-73.82236121088758 40.58280169684563)",181,"Seaside",1,"Seaside",NA,NA,0,"Queens",-73.8223612108876,40.5828016968456,"-73.82236121088758, 40.58280169684563"
"182","POINT (-73.85754672410836 40.57203673021705)",182,"Neponsit",1,"Neponsit",NA,NA,0,"Queens",-73.8575467241084,40.5720367302171,"-73.85754672410836, 40.57203673021705"
"183","POINT (-73.81276269135873 40.7641261226141)",183,"Murray Hill",2,"Murray","Hill",NA,0,"Queens",-73.8127626913587,40.7641261226141,"-73.81276269135873, 40.7641261226141"
"184","POINT (-73.70884705889253 40.74137842194548)",184,"Floral Park",1,"Floral Park",NA,NA,0,"Queens",-73.7088470588925,40.7413784219455,"-73.70884705889253, 40.74137842194548"
"185","POINT (-73.76714166714736 40.720957207644446)",185,"Holliswood",1,"Holliswood",NA,NA,0,"Queens",-73.7671416671474,40.7209572076444,"-73.76714166714736, 40.720957207644446"
"186","POINT (-73.78722696936667 40.716804830146174)",186,"Jamaica Estates",2,"Jamaica","Estates",NA,0,"Queens",-73.7872269693667,40.7168048301462,"-73.78722696936667, 40.716804830146174"
"187","POINT (-73.82580915110566 40.744572309286745)",187,"Queensboro Hill",2,"Queensboro","Hill",NA,0,"Queens",-73.8258091511057,40.7445723092867,"-73.82580915110566, 40.744572309286745"
"188","POINT (-73.79760300912679 40.72382490182924)",188,"Hillcrest",1,"Hillcrest",NA,NA,0,"Queens",-73.7976030091268,40.7238249018292,"-73.79760300912679, 40.72382490182924"
"189","POINT (-73.93157506072886 40.76170452605419)",189,"Ravenswood",1,"Ravenswood",NA,NA,0,"Queens",-73.9315750607289,40.7617045260542,"-73.93157506072886, 40.76170452605419"
"190","POINT (-73.84963782402448 40.66391841925143)",190,"Lindenwood",1,"Lindenwood",NA,NA,0,"Queens",-73.8496378240245,40.6639184192514,"-73.84963782402448, 40.66391841925143"
"191","POINT (-73.74025607989829 40.667883896602504)",191,"Laurelton",1,"Laurelton",NA,NA,0,"Queens",-73.7402560798983,40.6678838966025,"-73.74025607989829, 40.667883896602504"
"192","POINT (-73.86252471413746 40.73607457083084)",192,"Lefrak City",2,"Lefrak","City",NA,0,"Queens",-73.8625247141375,40.7360745708308,"-73.86252471413746, 40.73607457083084"
"193","POINT (-73.85401750392529 40.57615556543113)",193,"Belle Harbor",1,"Belle Harbor",NA,NA,0,"Queens",-73.8540175039253,40.5761555654311,"-73.85401750392529, 40.57615556543113"
"194","POINT (-73.84153370226193 40.58034295646135)",194,"Rockaway Park",1,"Rockaway Park",NA,NA,0,"Queens",-73.8415337022619,40.5803429564614,"-73.84153370226193, 40.58034295646135"
"195","POINT (-73.79664750844056 40.59771061565772)",195,"Somerville",1,"Somerville",NA,NA,0,"Queens",-73.7966475084406,40.5977106156577,"-73.79664750844056, 40.59771061565772"
"196","POINT (-73.7517531073116 40.66000322733616)",196,"Brookville",1,"Brookville",NA,NA,0,"Queens",-73.7517531073116,40.6600032273362,"-73.7517531073116, 40.66000322733616"
"197","POINT (-73.73889198912488 40.73301404027838)",197,"Bellaire",1,"Bellaire",NA,NA,0,"Queens",-73.7388919891249,40.7330140402784,"-73.73889198912488, 40.73301404027838"
"198","POINT (-73.85751790676454 40.75407099904894)",198,"North Corona",2,"North","Corona",NA,0,"Queens",-73.8575179067645,40.7540709990489,"-73.85751790676454, 40.75407099904894"
"199","POINT (-73.84102211234017 40.71461108151174)",199,"Forest Hills Gardens",3,"Forest","Hills","Gardens",0,"Queens",-73.8410221123402,40.7146110815117,"-73.84102211234017, 40.71461108151174"
"200","POINT (-74.07935312512804 40.64498157100444)",200,"St. George",2,"St.","George",NA,0,"Staten Island",-74.079353125128,40.6449815710044,"-74.07935312512804, 40.64498157100444"
"201","POINT (-74.08701650516633 40.64061455913515)",201,"New Brighton",2,"New","Brighton",NA,0,"Staten Island",-74.0870165051663,40.6406145591352,"-74.08701650516633, 40.64061455913515"
"202","POINT (-74.07790192660073 40.6269276253818)",202,"Stapleton",1,"Stapleton",NA,NA,0,"Staten Island",-74.0779019266007,40.6269276253818,"-74.07790192660073, 40.6269276253818"
"203","POINT (-74.06980526716148 40.61530494652765)",203,"Rosebank",1,"Rosebank",NA,NA,0,"Staten Island",-74.0698052671615,40.6153049465277,"-74.06980526716148, 40.61530494652765"
"204","POINT (-74.10718178265617 40.63187892654611)",204,"West Brighton",2,"West","Brighton",NA,0,"Staten Island",-74.1071817826562,40.6318789265461,"-74.10718178265617, 40.63187892654611"
"205","POINT (-74.08724819983736 40.62418479131304)",205,"Grymes Hill",2,"Grymes","Hill",NA,0,"Staten Island",-74.0872481998374,40.624184791313,"-74.08724819983736, 40.62418479131304"
"206","POINT (-74.11132881800887 40.59706851814676)",206,"Todt Hill",2,"Todt","Hill",NA,0,"Staten Island",-74.1113288180089,40.5970685181468,"-74.11132881800887, 40.59706851814676"
"207","POINT (-74.07955292539827 40.5802474135096)",207,"South Beach",2,"South","Beach",NA,0,"Staten Island",-74.0795529253983,40.5802474135096,"-74.07955292539827, 40.5802474135096"
"208","POINT (-74.12943426797015 40.63366930554369)",208,"Port Richmond",2,"Port","Richmond",NA,0,"Staten Island",-74.1294342679702,40.6336693055437,"-74.12943426797015, 40.63366930554369"
"209","POINT (-74.15008537046988 40.63254639048117)",209,"Mariner's Harbor",2,"Mariner's","Harbor",NA,0,"Staten Island",-74.1500853704699,40.6325463904812,"-74.15008537046988, 40.63254639048117"
"210","POINT (-74.17464532993549 40.63968297845546)",210,"Port Ivory",2,"Port","Ivory",NA,0,"Staten Island",-74.1746453299355,40.6396829784555,"-74.17464532993549, 40.63968297845546"
"211","POINT (-74.1191805853485 40.613335937667465)",211,"Castleton Corners",2,"Castleton","Corners",NA,0,"Staten Island",-74.1191805853485,40.6133359376675,"-74.1191805853485, 40.613335937667465"
"212","POINT (-74.16496031329834 40.59425237916174)",212,"New Springville",2,"New","Springville",NA,0,"Staten Island",-74.1649603132983,40.5942523791617,"-74.16496031329834, 40.59425237916174"
"213","POINT (-74.19073717538123 40.58631375103285)",213,"Travis",1,"Travis",NA,NA,0,"Staten Island",-74.1907371753812,40.5863137510328,"-74.19073717538123, 40.58631375103285"
"214","POINT (-74.11647943606387 40.57257231820636)",214,"New Dorp",2,"New","Dorp",NA,0,"Staten Island",-74.1164794360639,40.5725723182064,"-74.11647943606387, 40.57257231820636"
"215","POINT (-74.12156593771904 40.558462243288844)",215,"Oakwood",1,"Oakwood",NA,NA,0,"Staten Island",-74.121565937719,40.5584622432888,"-74.12156593771904, 40.558462243288844"
"216","POINT (-74.14932381490999 40.54948022871365)",216,"Great Kills",2,"Great","Kills",NA,0,"Staten Island",-74.14932381491,40.5494802287136,"-74.14932381490999, 40.54948022871365"
"217","POINT (-74.16433080419367 40.54223074745079)",217,"Eltingville",1,"Eltingville",NA,NA,0,"Staten Island",-74.1643308041937,40.5422307474508,"-74.16433080419367, 40.54223074745079"
"218","POINT (-74.17854866165885 40.538114174745104)",218,"Annadale",1,"Annadale",NA,NA,0,"Staten Island",-74.1785486616589,40.5381141747451,"-74.17854866165885, 40.538114174745104"
"219","POINT (-74.22135055371616 40.53745265012707)",219,"Woodrow",1,"Woodrow",NA,NA,0,"Staten Island",-74.2213505537162,40.5374526501271,"-74.22135055371616, 40.53745265012707"
"220","POINT (-74.24656934235291 40.505333761156464)",220,"Tottenville",1,"Tottenville",NA,NA,0,"Staten Island",-74.2465693423529,40.5053337611565,"-74.24656934235291, 40.505333761156464"
"221","POINT (-74.08055351790122 40.63731606711036)",221,"Tompkinsville",1,"Tompkinsville",NA,NA,0,"Staten Island",-74.0805535179012,40.6373160671104,"-74.08055351790122, 40.63731606711036"
"222","POINT (-74.09629029235465 40.619193107926804)",222,"Silver Lake",2,"Silver","Lake",NA,0,"Staten Island",-74.0962902923547,40.6191931079268,"-74.09629029235465, 40.619193107926804"
"223","POINT (-74.09712552178537 40.612760157564935)",223,"Sunnyside",1,"Sunnyside",NA,NA,0,"Staten Island",-74.0971255217854,40.6127601575649,"-74.09712552178537, 40.612760157564935"
"224","POINT (-73.96101312466787 40.64367518334101)",224,"Ditmas Park",2,"Ditmas","Park",NA,0,"Brooklyn",-73.9610131246679,40.643675183341,"-73.96101312466787, 40.64367518334101"
"225","POINT (-73.93718680559321 40.660946561881154)",225,"Wingate",1,"Wingate",NA,NA,0,"Brooklyn",-73.9371868055932,40.6609465618812,"-73.93718680559321, 40.660946561881154"
"226","POINT (-73.92688212616963 40.65557231328081)",226,"Rugby",1,"Rugby",NA,NA,0,"Brooklyn",-73.9268821261696,40.6555723132808,"-73.92688212616963, 40.65557231328081"
"227","POINT (-74.08015734936303 40.60919044434562)",227,"Park Hill",2,"Park","Hill",NA,0,"Staten Island",-74.080157349363,40.6091904443456,"-74.08015734936303, 40.60919044434562"
"228","POINT (-74.13304143951713 40.62109047275413)",228,"Westerleigh",1,"Westerleigh",NA,NA,0,"Staten Island",-74.1330414395171,40.6210904727541,"-74.13304143951713, 40.62109047275413"
"229","POINT (-74.1531524638777 40.62017151223193)",229,"Graniteville",1,"Graniteville",NA,NA,0,"Staten Island",-74.1531524638777,40.6201715122319,"-74.1531524638777, 40.62017151223193"
"230","POINT (-74.16510420241131 40.63532509911496)",230,"Arlington",1,"Arlington",NA,NA,0,"Staten Island",-74.1651042024113,40.635325099115,"-74.16510420241131, 40.63532509911496"
"231","POINT (-74.06712363225581 40.596312571276776)",231,"Arrochar",1,"Arrochar",NA,NA,0,"Staten Island",-74.0671236322558,40.5963125712768,"-74.06712363225581, 40.596312571276776"
"232","POINT (-74.07667436279057 40.59826835959995)",232,"Grasmere",1,"Grasmere",NA,NA,0,"Staten Island",-74.0766743627906,40.5982683595999,"-74.07667436279057, 40.59826835959995"
"233","POINT (-74.08751118005587 40.596328913795176)",233,"Old Town",2,"Old","Town",NA,0,"Staten Island",-74.0875111800559,40.5963289137952,"-74.08751118005587, 40.596328913795176"
"234","POINT (-74.09639905312528 40.58867294819932)",234,"Dongan Hills",2,"Dongan","Hills",NA,0,"Staten Island",-74.0963990531253,40.5886729481993,"-74.09639905312528, 40.58867294819932"
"235","POINT (-74.09348266303599 40.573526905742874)",235,"Midland Beach",2,"Midland","Beach",NA,0,"Staten Island",-74.093482663036,40.5735269057429,"-74.09348266303599, 40.573526905742874"
"236","POINT (-74.10585598545441 40.57621558711792)",236,"Grant City",2,"Grant","City",NA,0,"Staten Island",-74.1058559854544,40.5762155871179,"-74.10585598545441, 40.57621558711792"
"237","POINT (-74.10432707469131 40.56425549307338)",237,"New Dorp Beach",3,"New","Dorp","Beach",0,"Staten Island",-74.1043270746913,40.5642554930734,"-74.10432707469131, 40.56425549307338"
"238","POINT (-74.13916622175775 40.55398800858466)",238,"Bay Terrace",2,"Bay","Terrace",NA,0,"Staten Island",-74.1391662217577,40.5539880085847,"-74.13916622175775, 40.55398800858466"
"239","POINT (-74.19174105747821 40.53191192048964)",239,"Huguenot",1,"Huguenot",NA,NA,0,"Staten Island",-74.1917410574782,40.5319119204896,"-74.19174105747821, 40.53191192048964"
"240","POINT (-74.21983106616784 40.52469937611818)",240,"Pleasant Plains",2,"Pleasant","Plains",NA,0,"Staten Island",-74.2198310661678,40.5246993761182,"-74.21983106616784, 40.52469937611818"
"241","POINT (-74.22950350260034 40.506081653463085)",241,"Butler Manor",2,"Butler","Manor",NA,0,"Staten Island",-74.2295035026003,40.5060816534631,"-74.22950350260034, 40.506081653463085"
"242","POINT (-74.23215775896533 40.530531482833176)",242,"Charleston",1,"Charleston",NA,NA,0,"Staten Island",-74.2321577589653,40.5305314828332,"-74.23215775896533, 40.530531482833176"
"243","POINT (-74.21572851113959 40.549404006500765)",243,"Rossville",1,"Rossville",NA,NA,0,"Staten Island",-74.2157285111396,40.5494040065008,"-74.21572851113959, 40.549404006500765"
"244","POINT (-74.185886745839 40.549285822783254)",244,"Arden Heights",2,"Arden","Heights",NA,0,"Staten Island",-74.185886745839,40.5492858227833,"-74.185886745839, 40.549285822783254"
"245","POINT (-74.19150620964295 40.559712496342954)",245,"Greenridge",1,"Greenridge",NA,NA,0,"Staten Island",-74.191506209643,40.559712496343,"-74.19150620964295, 40.559712496342954"
"246","POINT (-74.15902208156608 40.589138948752854)",246,"Heartland Village",2,"Heartland","Village",NA,0,"Staten Island",-74.1590220815661,40.5891389487529,"-74.15902208156608, 40.589138948752854"
"247","POINT (-74.18956045519697 40.59472602746298)",247,"Chelsea",1,"Chelsea",NA,NA,0,"Staten Island",-74.189560455197,40.594726027463,"-74.18956045519697, 40.59472602746298"
"248","POINT (-74.18725638381574 40.60577868452362)",248,"Bloomfield",1,"Bloomfield",NA,NA,0,"Staten Island",-74.1872563838157,40.6057786845236,"-74.18725638381574, 40.60577868452362"
"249","POINT (-74.15940948657129 40.60959180042034)",249,"Bulls Head",2,"Bulls","Head",NA,0,"Staten Island",-74.1594094865713,40.6095918004203,"-74.15940948657129, 40.60959180042034"
"250","POINT (-73.95325646837121 40.78268256712574)",250,"Carnegie Hill",2,"Carnegie","Hill",NA,0,"Manhattan",-73.9532564683712,40.7826825671257,"-73.95325646837121, 40.78268256712574"
"251","POINT (-73.98843368023604 40.72325901885772)",251,"Noho",1,"Noho",NA,NA,0,"Manhattan",-73.988433680236,40.7232590188577,"-73.98843368023604, 40.72325901885772"
"252","POINT (-74.00541529873362 40.715228920462856)",252,"Civic Center",2,"Civic","Center",NA,0,"Manhattan",-74.0054152987336,40.7152289204629,"-74.00541529873362, 40.715228920462856"
"253","POINT (-73.98871313285254 40.748509664312245)",253,"Midtown South",2,"Midtown","South",NA,0,"Manhattan",-73.9887131328525,40.7485096643122,"-73.98871313285254, 40.748509664312245"
"254","POINT (-74.13405729862578 40.56960594275509)",254,"Richmond Town",2,"Richmond","Town",NA,0,"Staten Island",-74.1340572986258,40.5696059427551,"-74.13405729862578, 40.56960594275509"
"255","POINT (-74.06667766061778 40.609719340792886)",255,"Shore Acres",2,"Shore","Acres",NA,0,"Staten Island",-74.0666776606178,40.6097193407929,"-74.06667766061778, 40.609719340792886"
"256","POINT (-74.07264244548406 40.61917845202847)",256,"Clifton",1,"Clifton",NA,NA,0,"Staten Island",-74.0726424454841,40.6191784520285,"-74.07264244548406, 40.61917845202847"
"257","POINT (-74.08402364740365 40.604473189687944)",257,"Concord",1,"Concord",NA,NA,0,"Staten Island",-74.0840236474037,40.6044731896879,"-74.08402364740365, 40.604473189687944"
"258","POINT (-74.09776206972529 40.606794394801035)",258,"Emerson Hill",2,"Emerson","Hill",NA,0,"Staten Island",-74.0977620697253,40.606794394801,"-74.09776206972529, 40.606794394801035"
"259","POINT (-74.09805062373894 40.63563000681155)",259,"Randall Manor",2,"Randall","Manor",NA,0,"Staten Island",-74.0980506237389,40.6356300068116,"-74.09805062373894, 40.63563000681155"
"260","POINT (-74.1862233174983 40.638432837947995)",260,"Howland Hook",2,"Howland","Hook",NA,0,"Staten Island",-74.1862233174983,40.638432837948,"-74.1862233174983, 40.638432837947995"
"261","POINT (-74.14181678968897 40.63014674119387)",261,"Elm Park",2,"Elm","Park",NA,0,"Staten Island",-74.141816789689,40.6301467411939,"-74.14181678968897, 40.63014674119387"
"262","POINT (-73.91665331978055 40.65211745179353)",262,"Remsen Village",2,"Remsen","Village",NA,0,"Brooklyn",-73.9166533197806,40.6521174517935,"-73.91665331978055, 40.65211745179353"
"263","POINT (-73.885117763793 40.66274427969663)",263,"New Lots",2,"New","Lots",NA,0,"Brooklyn",-73.885117763793,40.6627442796966,"-73.885117763793, 40.66274427969663"
"264","POINT (-73.90233474295843 40.63131755039671)",264,"Paerdegat Basin",2,"Paerdegat","Basin",NA,0,"Brooklyn",-73.9023347429584,40.6313175503967,"-73.90233474295843, 40.63131755039671"
"265","POINT (-73.9151539155041 40.615974239623405)",265,"Mill Basin",2,"Mill","Basin",NA,0,"Brooklyn",-73.9151539155041,40.6159742396234,"-73.9151539155041, 40.615974239623405"
"266","POINT (-73.796464620816 40.71145964370486)",266,"Jamaica Hills",2,"Jamaica","Hills",NA,0,"Queens",-73.796464620816,40.7114596437049,"-73.796464620816, 40.71145964370486"
"267","POINT (-73.79671678028357 40.7335002542976)",267,"Utopia",1,"Utopia",NA,NA,0,"Queens",-73.7967167802836,40.7335002542976,"-73.79671678028357, 40.7335002542976"
"268","POINT (-73.80486120040544 40.73493618075482)",268,"Pomonok",1,"Pomonok",NA,NA,0,"Queens",-73.8048612004054,40.7349361807548,"-73.80486120040544, 40.73493618075482"
"269","POINT (-73.89467996270581 40.770317392998244)",269,"Astoria Heights",2,"Astoria","Heights",NA,0,"Queens",-73.8946799627058,40.7703173929982,"-73.89467996270581, 40.770317392998244"
"270","POINT (-73.90119903387674 40.83142834161551)",270,"Claremont Village",2,"Claremont","Village",NA,0,"Bronx",-73.9011990338767,40.8314283416155,"-73.90119903387674, 40.83142834161551"
"271","POINT (-73.91584652759016 40.82478049084294)",271,"Concourse Village",2,"Concourse","Village",NA,0,"Bronx",-73.9158465275902,40.8247804908429,"-73.91584652759016, 40.82478049084294"
"272","POINT (-73.91655551964426 40.843826176716576)",272,"Mount Eden",2,"Mount","Eden",NA,0,"Bronx",-73.9165555196443,40.8438261767166,"-73.91655551964426, 40.843826176716576"
"273","POINT (-73.90829930881995 40.84884160724669)",273,"Mount Hope",2,"Mount","Hope",NA,0,"Bronx",-73.9082993088199,40.8488416072467,"-73.90829930881995, 40.84884160724669"
"274","POINT (-73.9635561409431 40.76028033131378)",274,"Sutton Place",2,"Sutton","Place",NA,0,"Manhattan",-73.9635561409431,40.7602803313138,"-73.9635561409431, 40.76028033131378"
"275","POINT (-73.95386782130753 40.74341409007358)",275,"Hunters Point",2,"Hunters","Point",NA,0,"Queens",-73.9538678213075,40.7434140900736,"-73.95386782130753, 40.74341409007358"
"276","POINT (-73.96770824581843 40.75204236950726)",276,"Turtle Bay",2,"Turtle","Bay",NA,0,"Manhattan",-73.9677082458184,40.7520423695073,"-73.96770824581843, 40.75204236950726"
"277","POINT (-73.97121928722272 40.74691741074023)",277,"Tudor City",2,"Tudor","City",NA,0,"Manhattan",-73.9712192872227,40.7469174107402,"-73.97121928722272, 40.74691741074023"
"278","POINT (-73.9740517046921 40.73099955477065)",278,"Stuyvesant Town",2,"Stuyvesant","Town",NA,0,"Manhattan",-73.9740517046921,40.7309995547706,"-73.9740517046921, 40.73099955477065"
"279","POINT (-73.99094710528267 40.73967304763847)",279,"Flatiron",1,"Flatiron",NA,NA,0,"Manhattan",-73.9909471052827,40.7396730476385,"-73.99094710528267, 40.73967304763847"
"280","POINT (-73.9181928643169 40.745651806080794)",280,"Sunnyside Gardens",2,"Sunnyside","Gardens",NA,0,"Queens",-73.9181928643169,40.7456518060808,"-73.9181928643169, 40.745651806080794"
"281","POINT (-73.93244235260185 40.73725071694501)",281,"Blissville",1,"Blissville",NA,NA,0,"Queens",-73.9324423526019,40.737250716945,"-73.93244235260185, 40.73725071694501"
"282","POINT (-73.99550751888422 40.70328109093018)",282,"Fulton Ferry",2,"Fulton","Ferry",NA,0,"Brooklyn",-73.9955075188842,40.7032810909302,"-73.99550751888422, 40.70328109093018"
"283","POINT (-73.981116035924 40.703321498828785)",283,"Vinegar Hill",2,"Vinegar","Hill",NA,0,"Brooklyn",-73.981116035924,40.7033214988288,"-73.981116035924, 40.703321498828785"
"284","POINT (-73.93053108817347 40.67503986503241)",284,"Weeksville",1,"Weeksville",NA,NA,0,"Brooklyn",-73.9305310881735,40.6750398650324,"-73.93053108817347, 40.67503986503241"
"285","POINT (-73.90331684852606 40.67786104769535)",285,"Broadway Junction",2,"Broadway","Junction",NA,0,"Brooklyn",-73.9033168485261,40.6778610476954,"-73.90331684852606, 40.67786104769535"
"286","POINT (-73.98875280745047 40.70317632822696)",286,"Dumbo",1,"Dumbo",NA,NA,0,"Brooklyn",-73.9887528074505,40.703176328227,"-73.98875280745047, 40.70317632822696"
"287","POINT (-74.12059399718008 40.60180957631448)",287,"Manor Heights",2,"Manor","Heights",NA,0,"Staten Island",-74.1205939971801,40.6018095763145,"-74.12059399718008, 40.60180957631448"
"288","POINT (-74.13208447484305 40.60370692627375)",288,"Willowbrook",1,"Willowbrook",NA,NA,0,"Staten Island",-74.1320844748431,40.6037069262738,"-74.13208447484305, 40.60370692627375"
"289","POINT (-74.21776636068574 40.5411399220918)",289,"Sandy Ground",2,"Sandy","Ground",NA,0,"Staten Island",-74.2177663606857,40.5411399220918,"-74.21776636068574, 40.5411399220918"
"290","POINT (-74.12727240604953 40.579118742961256)",290,"Egbertville",1,"Egbertville",NA,NA,0,"Staten Island",-74.1272724060495,40.5791187429613,"-74.12727240604953, 40.579118742961256"
"291","POINT (-73.89213760232829 40.567375889570364)",291,"Roxbury",1,"Roxbury",NA,NA,0,"Queens",-73.8921376023283,40.5673758895704,"-73.89213760232829, 40.567375889570364"
"292","POINT (-73.9591845942871 40.59852509513729)",292,"Homecrest",1,"Homecrest",NA,NA,0,"Brooklyn",-73.9591845942871,40.5985250951373,"-73.9591845942871, 40.59852509513729"
